CPUs: 192
Tuning rounds (3x grid): [5, 1, 2]

============================================================
R5: settle_rate=0.119, 5 seeds
============================================================
150000 combos x 5 seeds x 30 MC (coarse)
  [ 56832/150000] 38%  710s  ETA 1164s  best=71.7
  [ 57216/150000] 38%  715s  ETA 1159s  best=71.7
  [ 57600/150000] 38%  720s  ETA 1154s  best=71.7
  [ 57984/150000] 39%  724s  ETA 1149s  best=71.7
  [ 58368/150000] 39%  729s  ETA 1144s  best=71.7
  [ 58752/150000] 39%  734s  ETA 1140s  best=71.7
  [ 59136/150000] 39%  738s  ETA 1134s  best=71.7
  [ 59520/150000] 40%  743s  ETA 1129s  best=71.7
  [ 59904/150000] 40%  748s  ETA 1124s  best=71.7
  [ 60288/150000] 40%  752s  ETA 1119s  best=71.7
  [ 60672/150000] 40%  757s  ETA 1114s  best=71.7
  [ 61056/150000] 41%  762s  ETA 1109s  best=71.7
  [ 61440/150000] 41%  766s  ETA 1104s  best=71.7
  [ 61824/150000] 41%  771s  ETA 1100s  best=71.7
  [ 62208/150000] 41%  776s  ETA 1095s  best=71.7
  [ 62592/150000] 42%  780s  ETA 1090s  best=71.7
  [ 62976/150000] 42%  785s  ETA 1085s  best=71.7
  [ 63360/150000] 42%  790s  ETA 1080s  best=71.7
  [ 63744/150000] 42%  795s  ETA 1075s  best=71.7
  [ 64128/150000] 43%  799s  ETA 1070s  best=71.7
  [ 64512/150000] 43%  804s  ETA 1066s  best=71.7
  [ 64896/150000] 43%  809s  ETA 1061s  best=71.7
  [ 65280/150000] 44%  814s  ETA 1056s  best=71.7
  [ 65664/150000] 44%  818s  ETA 1051s  best=71.7
  [ 66048/150000] 44%  823s  ETA 1046s  best=71.7
  [ 66432/150000] 44%  828s  ETA 1041s  best=71.7
  [ 66816/150000] 45%  832s  ETA 1036s  best=71.7
  [ 67200/150000] 45%  837s  ETA 1032s  best=71.7
  [ 67584/150000] 45%  842s  ETA 1026s  best=71.7
  [ 67968/150000] 45%  846s  ETA 1022s  best=71.7
  [ 68352/150000] 46%  851s  ETA 1017s  best=71.7
  [ 68736/150000] 46%  856s  ETA 1012s  best=71.7
  [ 69120/150000] 46%  860s  ETA 1007s  best=71.7
  [ 69504/150000] 46%  865s  ETA 1002s  best=71.7
  [ 69888/150000] 47%  870s  ETA 997s  best=71.7
  [ 70272/150000] 47%  874s  ETA 992s  best=71.7
  [ 70656/150000] 47%  879s  ETA 987s  best=71.7
  [ 71040/150000] 47%  884s  ETA 982s  best=71.7
  [ 71424/150000] 48%  888s  ETA 977s  best=71.7
  [ 71808/150000] 48%  893s  ETA 973s  best=71.7
  [ 72192/150000] 48%  898s  ETA 968s  best=71.7
  [ 72576/150000] 48%  903s  ETA 963s  best=71.7
  [ 72960/150000] 49%  908s  ETA 958s  best=71.7
  [ 73344/150000] 49%  912s  ETA 954s  best=71.7
  [ 73728/150000] 49%  917s  ETA 949s  best=71.7
  [ 74112/150000] 49%  922s  ETA 944s  best=71.7
  [ 74496/150000] 50%  927s  ETA 939s  best=71.7
  [ 74880/150000] 50%  931s  ETA 934s  best=71.7
  [ 75264/150000] 50%  936s  ETA 929s  best=71.7
  [ 75648/150000] 50%  941s  ETA 924s  best=71.7
  [ 76032/150000] 51%  945s  ETA 920s  best=71.7
  [ 76416/150000] 51%  950s  ETA 915s  best=71.7
  [ 76800/150000] 51%  955s  ETA 910s  best=71.7
  [ 77184/150000] 51%  960s  ETA 905s  best=71.7
  [ 77568/150000] 52%  964s  ETA 901s  best=71.7
  [ 77952/150000] 52%  969s  ETA 896s  best=71.7
  [ 78336/150000] 52%  974s  ETA 891s  best=71.7
  [ 78720/150000] 52%  978s  ETA 886s  best=71.7
  [ 79104/150000] 53%  983s  ETA 881s  best=71.7
  [ 79488/150000] 53%  988s  ETA 876s  best=71.7
  [ 79872/150000] 53%  993s  ETA 871s  best=71.7
  [ 80256/150000] 54%  997s  ETA 867s  best=71.7
  [ 80640/150000] 54%  1002s  ETA 862s  best=71.7
  [ 81024/150000] 54%  1007s  ETA 857s  best=71.7
  [ 81408/150000] 54%  1011s  ETA 852s  best=71.7
  [ 81792/150000] 55%  1016s  ETA 847s  best=71.7
  [ 82176/150000] 55%  1021s  ETA 842s  best=71.7
  [ 82560/150000] 55%  1025s  ETA 838s  best=71.7
  [ 82944/150000] 55%  1030s  ETA 833s  best=71.7
  [ 83328/150000] 56%  1035s  ETA 828s  best=71.7
  [ 83712/150000] 56%  1039s  ETA 823s  best=71.7
  [ 84096/150000] 56%  1044s  ETA 818s  best=71.7
  [ 84480/150000] 56%  1049s  ETA 813s  best=71.7
  [ 84864/150000] 57%  1053s  ETA 809s  best=71.7
  [ 85248/150000] 57%  1058s  ETA 804s  best=71.7
  [ 85632/150000] 57%  1063s  ETA 799s  best=71.7
  [ 86016/150000] 57%  1067s  ETA 794s  best=71.7
  [ 86400/150000] 58%  1072s  ETA 789s  best=71.7
  [ 86784/150000] 58%  1077s  ETA 784s  best=71.7
  [ 87168/150000] 58%  1081s  ETA 779s  best=71.7
